,Survey Year,Gender,Average Head Coach Salary,Survey Year,Gender,Average Recruiting Expenses,Survey Year,Gender,Average Athletic Aid
74,2020,Men's Team Head Coach Average Salary,1080611,2020,Men's Team Recruiting Expenses,430872,2020,Men's Team Athletic Student Aid,4899480
75,2020,Men's Team Head Coach Average Salary,1502120,2020,Men's Team Recruiting Expenses,538236,2020,Men's Team Athletic Student Aid,7031992
76,2020,Men's Team Head Coach Average Salary,930615,2020,Men's Team Recruiting Expenses,306325,2020,Men's Team Athletic Student Aid,9220929
77,2020,Men's Team Head Coach Average Salary,1577116,2020,Men's Team Recruiting Expenses,59838,2020,Men's Team Athletic Student Aid,5408366
78,2020,Men's Team Head Coach Average Salary,603580,2020,Men's Team Recruiting Expenses,181952,2020,Men's Team Athletic Student Aid,7394484
79,2020,Men's Team Head Coach Average Salary,1154808,2020,Men's Team Recruiting Expenses,822955,2020,Men's Team Athletic Student Aid,11408760
80,2020,Men's Team Head Coach Average Salary,741493,2020,Men's Team Recruiting Expenses,516041,2020,Men's Team Athletic Student Aid,10495537
81,2020,Men's Team Head Coach Average Salary,943164,2020,Men's Team Recruiting Expenses,295057,2020,Men's Team Athletic Student Aid,4102488
82,2020,Men's Team Head Coach Average Salary,653621,2020,Men's Team Recruiting Expenses,908419,2020,Men's Team Athletic Student Aid,5788008
83,2020,Men's Team Head Coach Average Salary,1044855,2020,Men's Team Recruiting Expenses,263728,2020,Men's Team Athletic Student Aid,7484442
84,2020,Men's Team Head Coach Average Salary,845303,2020,Men's Team Recruiting Expenses,442845,2020,Men's Team Athletic Student Aid,8875382
85,2020,Men's Team Head Coach Average Salary,694277,2020,Men's Team Recruiting Expenses,491234,2020,Men's Team Athletic Student Aid,13494168
86,2020,Men's Team Head Coach Average Salary,1195651,2020,Men's Team Recruiting Expenses,306902,2020,Men's Team Athletic Student Aid,10829266
87,2020,Men's Team Head Coach Average Salary,1975622,2020,Men's Team Recruiting Expenses,822277,2020,Men's Team Athletic Student Aid,7507504
88,2020,Men's Team Head Coach Average Salary,1492198,2020,Men's Team Recruiting Expenses,12088,2020,Men's Team Athletic Student Aid,11920599
89,2020,Men's Team Head Coach Average Salary,1233663,2020,Men's Team Recruiting Expenses,1027689,2020,Men's Team Athletic Student Aid,4537027
90,2020,Men's Team Head Coach Average Salary,2064092,2020,Men's Team Recruiting Expenses,637794,2020,Men's Team Athletic Student Aid,9183743
91,2020,Men's Team Head Coach Average Salary,1407398,2020,Men's Team Recruiting Expenses,399400,2020,Men's Team Athletic Student Aid,8069080
92,2020,Men's Team Head Coach Average Salary,1784852,2020,Men's Team Recruiting Expenses,1079328,2020,Men's Team Athletic Student Aid,6883349
93,2020,Men's Team Head Coach Average Salary,2025405,2020,Men's Team Recruiting Expenses,448852,2020,Men's Team Athletic Student Aid,7333113
94,2020,Men's Team Head Coach Average Salary,1263186,2020,Men's Team Recruiting Expenses,319665,2020,Men's Team Athletic Student Aid,6370195
95,2020,Men's Team Head Coach Average Salary,515664,2020,Men's Team Recruiting Expenses,328971,2020,Men's Team Athletic Student Aid,5978529
96,2020,Men's Team Head Coach Average Salary,1235837,2020,Men's Team Recruiting Expenses,209402,2020,Men's Team Athletic Student Aid,8097076
97,2020,Men's Team Head Coach Average Salary,1190242,2020,Men's Team Recruiting Expenses,302714,2020,Men's Team Athletic Student Aid,6812504
98,2020,Men's Team Head Coach Average Salary,1456146,2020,Men's Team Recruiting Expenses,492537,2020,Men's Team Athletic Student Aid,5446211
